date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-02 | 1
2009-01-02 | 0
2022-03-29 | 1000
2022-03-29 | 0.5
2020-01-01 | 5
2015-06-15 | 10
2011-01-03 | 0.001
2008-12-31 | 1
2025-12-31 | 1
2012-02-29 | 1
2011-02-29 | 1
2000-02-29 | 1
1900-02-29 | 1
2011-04-31 | 1
2011-06-31 | 1
2011-00-01 | 1
2011-01-00 | 1
2011-01-32 | 1
2011-12-31 | 1
2011-01-03 | 1000
2011-01-03 | 1000.1
2011-01-03 | -0.01
2011-01-03 | -1
abc | 1
2011-01-03 | abc
2011-01-03|1
20110103 | 1
| 1
2011-01-03 |
 | 
2011-01-03 | 1 | 2

hola
